2018-06-06 17:49:45.322 GMT+08:00 Wed |    Error | T0000008496 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01278 | [upload | thread - 1 | uploader - 9608376] upload been stopped: [task:0] (E:/Workspaces/3dmax/2014/test.txt), failure count (0)
2018-06-06 17:49:45.322 GMT+08:00 Wed |    Debug | T0000008496 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01293 | [upload | thread - 1 | uploader - 9608376] upload end: [task:0] (E:/Workspaces/3dmax/2014/test.txt)
2018-06-06 17:49:46.281 GMT+08:00 Wed |    Debug | T0000008008 | ..\src\aspera_manager.cpp:AsperaManager::stop_upload_task:00750 | stop upload [task:0] notify begin
2018-06-06 17:49:46.281 GMT+08:00 Wed |    Debug | T0000008008 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00155 | [uploader - 2489648] stop task [task:0] begin
2018-06-06 17:49:46.281 GMT+08:00 Wed |    Debug | T0000008008 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00159 | [uploader - 2489648] stop task [task:0] end
2018-06-06 17:49:46.281 GMT+08:00 Wed |    Debug | T0000008008 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00155 | [uploader - 9608376] stop task [task:0] begin
2018-06-06 17:49:46.281 GMT+08:00 Wed |    Debug | T0000008008 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00159 | [uploader - 9608376] stop task [task:0] end
2018-06-06 17:49:46.281 GMT+08:00 Wed |    Debug | T0000008008 | ..\src\aspera_manager.cpp:AsperaManager::stop_upload_task:00760 | stop upload [task:0] notify end
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::exit:00422 | [manager] exit begin
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::clear:00430 | [manager] clear begin
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000011664 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01301 | [manager] do upload thread - 0 end
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000011664 | ..\src\aspera_manager.cpp:upload_thread_run:00199 | upload thread - 0 run end
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000007392 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01478 | [manager] do download thread - 0 end
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000007392 | ..\src\aspera_manager.cpp:download_thread_run:00213 | download thread - 0 run end
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000012272 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01478 | [manager] do download thread - 1 end
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000012272 | ..\src\aspera_manager.cpp:download_thread_run:00213 | download thread - 1 run end
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000008496 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01301 | [manager] do upload thread - 1 end
2018-06-06 17:49:46.329 GMT+08:00 Wed |    Debug | T0000008496 | ..\src\aspera_manager.cpp:upload_thread_run:00199 | upload thread - 1 run end
2018-06-06 17:49:47.249 GMT+08:00 Wed |    Debug | T0000010784 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01130 | [manager] do check thread - 0 end
2018-06-06 17:49:47.249 GMT+08:00 Wed |    Debug | T0000010784 | ..\src\aspera_manager.cpp:check_thread_run:00185 | check thread - 0 run end
2018-06-06 17:49:50.299 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::clear:00474 | [manager] wait threads exit begin
2018-06-06 17:49:50.299 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::clear:00476 | [manager] wait threads exit end
2018-06-06 17:49:50.299 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::clear:00478 | [manager] release aspera manager begin
2018-06-06 17:49:50.348 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::clear:00487 | [manager] release aspera manager end
2018-06-06 17:49:50.349 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::clear:00491 | [manager] clear end
2018-06-06 17:49:50.349 GMT+08:00 Wed |    Debug | T0000004608 | ..\src\aspera_manager.cpp:AsperaManager::exit:00424 | [manager] exit end
2018-06-06 17:49:51.657 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::init:00266 | [manager] init begin
2018-06-06 17:49:51.673 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::init:00338 | [manager] max uploader count: 2, max downloader count: 2
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000007212 | ..\src\aspera_manager.cpp:download_thread_run:00210 | download thread - 0 run begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000007232 | ..\src\aspera_manager.cpp:download_thread_run:00210 | download thread - 1 run begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000007212 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01351 | [manager] do download thread - 0 begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000010956 | ..\src\aspera_manager.cpp:upload_thread_run:00196 | upload thread - 0 run begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000007232 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01351 | [manager] do download thread - 1 begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::init:00408 | [manager] init success
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_manager.cpp:upload_thread_run:00196 | upload thread - 1 run begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000010956 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01187 | [manager] do upload thread - 0 begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01187 | [manager] do upload thread - 1 begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000007008 | ..\src\aspera_manager.cpp:check_thread_run:00182 | check thread - 0 run begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000007008 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01080 | [manager] do check thread - 0 begin
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::push_upload_task:00726 | push upload [task:0, job:1] success
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01212 | [upload | thread - 1 | uploader - 33684352] task info: [project:3441, user:1852991] (E:/Workspaces/3dmax/2014/OGLdpf.log) -> (/1852500/1852991//E/Workspaces/3dmax/2014/OGLdpf.log/E/Workspaces/3dmax/2014/OGLdpf.log)
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01227 | [upload | thread - 1 | uploader - 33684352] upload begin: [task:0] (E:/Workspaces/3dmax/2014/OGLdpf.log)
2018-06-06 17:49:51.679 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00177 | [uploader - 33684352] send connect request, max transmit speed: 1048576KB/S
2018-06-06 17:49:51.680 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00202 | [uploader - 33684352] create aspera session with server [45.251.92.2] success: {297369fb-8590-46e4-8f9b-bd98f6c2e602}
2018-06-06 17:50:13.670 GMT+08:00 Wed |    Error | T0000008344 | ..\src\aspera_uploader.cpp:AsperaUploader::aspera_callback:00195 | [uploader - 33684352] catch connect exception: session name {297369fb-8590-46e4-8f9b-bd98f6c2e602}, error (unable to start ascp process)
2018-06-06 17:50:18.694 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00177 | [uploader - 33684352] send connect request, max transmit speed: 1048576KB/S
2018-06-06 17:50:18.694 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00202 | [uploader - 33684352] create aspera session with server [45.251.92.2] success: {10e120e3-2a2f-4049-a1cd-08f9b281516d}
2018-06-06 17:50:40.668 GMT+08:00 Wed |    Error | T0000008344 | ..\src\aspera_uploader.cpp:AsperaUploader::aspera_callback:00195 | [uploader - 33684352] catch connect exception: session name {10e120e3-2a2f-4049-a1cd-08f9b281516d}, error (unable to start ascp process)
2018-06-06 17:50:41.650 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_manager.cpp:AsperaManager::stop_upload_task:00750 | stop upload [task:0] notify begin
2018-06-06 17:50:41.650 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00155 | [uploader - 33680688] stop task [task:0] begin
2018-06-06 17:50:41.650 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00159 | [uploader - 33680688] stop task [task:0] end
2018-06-06 17:50:41.650 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00155 | [uploader - 33684352] stop task [task:0] begin
2018-06-06 17:50:41.650 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00159 | [uploader - 33684352] stop task [task:0] end
2018-06-06 17:50:41.650 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_manager.cpp:AsperaManager::stop_upload_task:00760 | stop upload [task:0] notify end
2018-06-06 17:50:50.690 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00177 | [uploader - 33684352] send connect request, max transmit speed: 1048576KB/S
2018-06-06 17:50:50.690 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00202 | [uploader - 33684352] create aspera session with server [45.251.92.2] success: {619cc90e-1b0c-4809-9300-b7ce9ba5c9fa}
2018-06-06 17:51:12.665 GMT+08:00 Wed |    Error | T0000008344 | ..\src\aspera_uploader.cpp:AsperaUploader::aspera_callback:00195 | [uploader - 33684352] catch connect exception: session name {619cc90e-1b0c-4809-9300-b7ce9ba5c9fa}, error (unable to start ascp process)
2018-06-06 17:51:12.665 GMT+08:00 Wed |    Error | T0000005396 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01278 | [upload | thread - 1 | uploader - 33684352] upload been stopped: [task:0] (E:/Workspaces/3dmax/2014/OGLdpf.log), failure count (0)
2018-06-06 17:51:12.665 GMT+08:00 Wed |    Debug | T0000005396 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01293 | [upload | thread - 1 | uploader - 33684352] upload end: [task:0] (E:/Workspaces/3dmax/2014/OGLdpf.log)
2018-06-06 17:51:13.647 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_manager.cpp:AsperaManager::stop_upload_task:00750 | stop upload [task:0] notify begin
2018-06-06 17:51:13.647 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00155 | [uploader - 33680688] stop task [task:0] begin
2018-06-06 17:51:13.647 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00159 | [uploader - 33680688] stop task [task:0] end
2018-06-06 17:51:13.647 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00155 | [uploader - 33684352] stop task [task:0] begin
2018-06-06 17:51:13.647 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_conveyer.cpp:IAsperaConveyer::stop_task:00159 | [uploader - 33684352] stop task [task:0] end
2018-06-06 17:51:13.647 GMT+08:00 Wed |    Debug | T0000010584 | ..\src\aspera_manager.cpp:AsperaManager::stop_upload_task:00760 | stop upload [task:0] notify end
2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::exit:00422 | [manager] exit begin
2018-06-06 17:51:13.670 GMT+08:00 Wed |    Debug | T0000010516 | ..\src\aspera_manager.cpp:AsperaManager::clear:00430 | [manager] clear begin
