2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000009260 | ..\src\udx_manager.cpp:download_thread_run:00212 | download thread - 1 run begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000009260 | ..\src\udx_manager.cpp:UdxManager::do_download:01660 | [manager] do download thread - 1 begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000010708 | ..\src\udx_manager.cpp:upload_thread_run:00198 | upload thread - 0 run begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000010708 | ..\src\udx_manager.cpp:UdxManager::do_upload:01280 | [manager] do upload thread - 0 begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_manager.cpp:upload_thread_run:00198 | upload thread - 1 run begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000012792 | ..\src\udx_manager.cpp:check_thread_run:00184 | check thread - 0 run begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_manager.cpp:UdxManager::do_upload:01280 | [manager] do upload thread - 1 begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000012792 | ..\src\udx_manager.cpp:UdxManager::do_check:01126 | [manager] do check thread - 0 begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::init:00471 | [manager] init success
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000013068 | ..\src\udx_manager.cpp:resolve_thread_run:00170 | resolve thread - 0 run begin
2018-06-06 18:47:45.496 GMT+08:00 Wed |    Debug | T0000013068 | ..\src\udx_manager.cpp:UdxManager::do_resolve:01067 | [manager] do resolve thread - 0 begin
2018-06-06 18:47:45.497 GMT+08:00 Wed |    Debug | T0000011836 | ..\src\udx_manager.cpp:UdxManager::push_upload_task:00791 | push upload [task:0, job:1] success
2018-06-06 18:47:45.497 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_manager.cpp:UdxManager::do_upload:01306 | [upload | thread - 1 | uploader - 10148256] task info: [project:3441, user:1852991] (E:/Workspaces/3dmax/2014/test.txt) -> (/1852500/1852991///E/Workspaces/3dmax/2014/test.txt)
2018-06-06 18:47:45.497 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_manager.cpp:UdxManager::do_upload:01322 | [upload | thread - 1 | uploader - 10148256] upload begin: [task:0, job:1] (E:/Workspaces/3dmax/2014/test.txt)
2018-06-06 18:47:45.497 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_session.cpp:IUdxSession::send_connect_request:00248 | [uploader - 10148256] acquire udx tcp success
2018-06-06 18:47:45.497 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_session.cpp:IUdxSession::send_connect_request:00265 | [uploader - 10148256] send connect request, with server: [42.123.110.47:8885]
2018-06-06 18:47:45.554 GMT+08:00 Wed |    Debug | T0000002472 | ..\src\udx_session.cpp:IUdxSession::recv_connect_response:00336 | [uploader - 10148256] recv connect response
2018-06-06 18:47:45.629 GMT+08:00 Wed |    Debug | T0000002472 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_recv_set_user_information_response:01006 | [uploader - 10148256] parse set user information response success
2018-06-06 18:47:45.629 GMT+08:00 Wed |    Debug | T0000012844 | ..\src\udx_session.cpp:IUdxSession::set_max_send_speed:00153 | [uploader - 10148256] set max upload speed: 1048576KB/S
2018-06-06 18:47:45.868 GMT+08:00 Wed |    Debug | T0000002472 | ..\src\udx_uploader.cpp:UdxUploader::on_recv_set_remote_directory_response:00215 | [uploader - 10148256] parse set remote directory response success
2018-06-06 18:47:46.003 GMT+08:00 Wed |    Debug | T0000002472 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_transmit_begin:00694 | [uploader - 10148256] file transmit begin notify: notify file name (E:/Workspaces/3dmax/2014/test.txt)
2018-06-06 18:47:46.599 GMT+08:00 Wed |    Error | T0000002472 | ..\src\udx_conveyer.cpp:IUdxConveyer::on_transmit_error:00752 | [uploader - 10148256] transmit file error notify: transmit file name (E:/Workspaces/3dmax/2014/test.txt), error (20)
